iter	Passed	Remaining
0	0	986
1	1	645
2	1	529
3	1	465
4	16	3286
5	22	3770
6	25	3648
7	26	3242
8	26	2909
9	26	2643
10	29	2664
11	30	2475
12	30	2313
13	30	2166
14	31	2040
15	31	1927
16	37	2145
17	37	2039
18	37	1944
19	37	1859
20	38	1781
21	38	1711
22	38	1647
23	39	1587
24	39	1533
25	39	1483
26	39	1436
27	47	1637
28	47	1588
29	47	1543
30	48	1500
31	48	1460
32	48	1423
33	48	1387
34	49	1354
35	49	1322
36	58	1513
37	58	1481
38	59	1474
39	60	1443
40	60	1413
41	60	1384
42	60	1357
43	61	1331
44	61	1305
45	61	1281
46	68	1398
47	69	1374
48	69	1351
49	70	1330
50	70	1317
51	71	1297
52	71	1276
53	78	1369
54	78	1347
55	78	1326
56	78	1306
57	79	1287
58	79	1270
59	79	1252
60	80	1236
61	80	1219
62	80	1203
63	81	1187
64	88	1271
65	88	1254
66	88	1238
67	89	1222
68	89	1207
69	89	1192
70	90	1177
71	90	1163
72	90	1150
73	94	1178
74	100	1243
75	101	1229
76	101	1215
77	101	1201
78	101	1188
79	102	1175
80	102	1162
81	102	1150
82	102	1136
83	103	1124
84	103	1113
85	110	1176
86	110	1164
87	111	1152
88	111	1141
89	112	1135
90	112	1124
91	112	1114
92	113	1103
93	113	1093
94	120	1145
95	120	1135
96	121	1126
97	121	1119
98	122	1111
99	122	1102
100	122	1092
101	123	1082
102	124	1080
103	131	1131
104	131	1123
105	132	1114
106	132	1105
107	132	1096
108	133	1087
109	133	1078
110	140	1128
111	141	1119
112	141	1114
113	142	1106
114	142	1099
115	143	1093
116	143	1084
117	144	1078
118	145	1073
119	145	1069
120	146	1065
121	146	1057
122	147	1048
123	147	1040
124	147	1032
125	147	1024
126	147	1016
127	148	1008
128	148	1000
129	148	993
130	148	985
131	148	978
132	149	971
133	149	964
134	149	957
135	149	950
136	149	943
137	150	937
138	150	930
139	150	924
140	150	917
141	150	910
142	150	904
143	151	898
144	151	892
145	151	886
146	151	880
147	151	874
148	152	868
149	152	863
150	152	857
151	152	852
152	152	846
153	153	841
154	153	835
155	153	830
156	153	825
157	153	820
158	154	815
159	154	810
160	154	804
161	154	799
162	154	794
163	155	790
164	155	785
165	155	780
166	155	776
167	155	771
168	156	767
169	156	765
170	157	761
171	157	757
172	157	752
173	157	748
174	157	744
175	158	740
176	158	735
177	158	731
178	158	727
179	158	723
180	159	719
181	159	715
182	160	716
183	160	713
184	161	709
185	161	705
186	161	701
187	161	698
188	161	694
189	162	690
190	162	687
191	162	683
192	162	679
193	162	676
194	162	672
195	163	669
196	163	666
197	163	662
198	163	659
199	164	656
200	164	652
201	164	649
202	164	646
203	164	642
204	164	639
205	165	636
206	165	633
207	165	630
208	165	627
209	165	624
210	166	621
211	166	618
212	166	615
213	166	612
214	166	609
215	167	606
216	167	603
217	167	601
218	167	598
219	167	595
220	168	592
221	168	589
222	168	587
223	168	584
224	168	581
225	169	579
226	169	576
227	169	574
228	169	571
229	169	568
230	170	566
231	170	563
232	170	561
233	170	558
234	170	556
235	171	553
236	171	551
237	172	551
238	172	548
239	172	546
240	172	543
241	172	541
242	173	539
243	173	536
244	173	534
245	173	532
246	173	529
247	174	527
248	174	525
249	174	523
250	174	521
251	174	519
252	175	517
253	175	515
254	175	512
255	175	510
256	176	509
257	176	506
258	176	504
259	176	502
260	176	500
261	177	498
262	177	496
263	177	494
264	177	492
265	177	490
266	178	488
267	178	486
268	178	484
269	178	482
270	178	481
271	179	479
272	179	477
273	179	475
274	179	473
275	179	471
276	179	469
277	180	467
278	180	466
279	180	464
280	180	462
281	180	460
282	181	458
283	181	457
284	181	455
285	181	453
286	181	452
287	182	450
288	182	448
289	182	446
290	182	445
291	182	443
292	183	441
293	183	440
294	183	438
295	183	436
296	183	435
297	184	433
298	184	432
299	184	430
300	184	428
301	184	427
302	185	425
303	185	424
304	185	422
305	185	421
306	185	419
307	186	418
308	186	417
309	187	416
310	187	414
311	187	413
312	187	411
313	187	410
314	187	408
315	188	407
316	188	405
317	188	404
318	188	402
319	189	401
320	189	400
321	190	401
322	190	400
323	191	399
324	191	398
325	191	396
326	192	395
327	192	394
328	192	392
329	192	391
330	193	390
331	193	388
332	193	387
333	193	386
334	193	384
335	193	383
336	194	382
337	194	380
338	194	379
339	194	378
340	194	376
341	195	375
342	195	374
343	195	372
344	195	371
345	195	370
346	196	369
347	196	367
348	196	366
349	196	365
350	197	364
351	197	363
352	197	361
353	197	360
354	197	359
355	197	358
356	198	356
357	198	355
358	198	354
359	198	353
360	198	352
361	199	350
362	199	349
363	199	348
364	199	347
365	199	346
366	200	345
367	200	344
368	200	342
369	200	341
370	200	340
371	201	339
372	201	338
373	201	337
374	201	336
375	202	335
376	202	334
377	202	333
378	202	332
379	202	331
380	203	330
381	203	329
382	203	328
383	204	328
384	204	327
385	205	326
386	205	325
387	205	324
388	205	322
389	205	321
390	206	320
391	206	319
392	206	318
393	207	318
394	207	317
395	207	316
396	207	315
397	207	314
398	208	313
399	208	312
400	208	311
401	208	310
402	208	309
403	209	308
404	209	307
405	209	306
406	209	305
407	209	304
408	210	303
409	210	302
410	210	301
411	210	300
412	210	299
413	210	298
414	211	297
415	211	296
416	211	295
417	211	294
418	211	293
419	212	292
420	212	291
421	212	291
422	212	290
423	212	289
424	213	288
425	213	287
426	213	286
427	213	285
428	213	284
429	213	283
430	214	282
431	214	281
432	214	281
433	214	280
434	214	279
435	215	278
436	215	277
437	215	276
438	215	275
439	215	274
440	216	273
441	216	273
442	216	272
